Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43285,,Spot Purchased Day Care For Adults (Brambles Therapeutic Care Farm),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Brambles Therapeutic Care Farm),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,66112 ,Estimated,,BRAMBLES THERAPUETIC CARE FARM,,,1105791 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43286,,Spot Purchased Day Care For Adults (Branch Out),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Branch Out),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,16815 ,Estimated,,BRANCH OUT,,,66770 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43287,,Contract for Day Care March 1995 (Branching Out Limited),,COMMUNITY SERVICES,,,Contract for Day Care March 1995 (Branching Out Limited),Adult care - day care/community support/support into work,,,,,,,,,,,,BRANCH OUT,,,66770 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43288,,Spot Purchased Day Care For Adults (Brandon Day Centre),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Brandon Day Centre),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,57327 ,Estimated,,ORBIT GROUP LIMITED,,,151069 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43289,,Spot Purchased Day Care For Adults (Briar House),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Briar House),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,ADIEMUS CARE LIMITED,07747136,,678720 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43291,,Spot Purchased Day Care For Adults (Briston Day Centre),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Briston Day Centre),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,78883 ,Estimated,,BRISTON DAY CARE CENTRE,,,66816 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43292,,Spot Purchased Day Care For Adults (Broadland Meridian),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Broadland Meridian),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,671 ,Estimated,,BROADLAND MERIDIAN,gb/01847453,,611490 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43293,,Spot Purchased Day Care For Adults (Broadlands Day Support Club),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Broadlands Day Support Club),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,92420 ,Estimated,,AGE UK NORFOLK,,,404032 ,,Yes,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43294,,Spot Purchased Day Care For Adults (Broadlands Park),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Broadlands Park),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,R J & S F HOLLYMAN T/A BROADLANDS PARK,,,66881 ,,,,PART B SERVICES,,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,BAN43295,,Spot Purchased Day Care For Adults (Brook Lodge),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (Brook Lodge),Adult care - day care/community support/support into work,,,,,01-Jan-2000,,,,,,,JOHN BROOKS T/A BROOK LODGE RESIDENTIAL HOME,,,79518 ,,,,PART B SERVICES,,,Other,,,,,
