category,date_calculated,sum,YYYY,exmonth
Data processing or preparation services,2013-08-01,500,2013,8
Data processing or preparation services,2014-11-01,941.8,2014,11
Data processing or preparation services,2012-04-01,1850,2012,4
Data processing or preparation services,2012-05-01,500,2012,5
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2013-08-01,519,2013,8
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2014-10-01,909.9,2014,10
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2011-01-01,947.4,2011,1
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2011-04-01,473.7,2011,4
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2011-08-01,3515.6,2011,8
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2013-03-01,1024,2013,3
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2011-03-01,3044.5,2011,3
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2011-07-01,3204.62,2011,7
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2014-12-01,855,2014,12
Data Voice or Multimedia Network Equipment or Platforms and Accessories,2012-10-01,2304,2012,10
Demolition services,2014-12-01,8293,2014,12
Demolition services,2014-10-01,20702.4,2014,10
Dental equipment and supplies,2012-01-01,13358.4,2012,1
Dental equipment and supplies,2012-05-01,17207.35,2012,5
Dental equipment and supplies,2011-10-01,11452.35,2011,10
Dental equipment and supplies,2012-10-01,11820,2012,10
Dental equipment and supplies,2011-05-01,7733.8,2011,5
Dental equipment and supplies,2014-11-01,2385,2014,11
Dental equipment and supplies,2012-12-01,12137.14,2012,12
Dental equipment and supplies,2012-04-01,15288.45,2012,4
Dental equipment and supplies,2012-06-01,8289.57,2012,6
Dental equipment and supplies,2011-01-01,31008,2011,1
Dental equipment and supplies,2011-04-01,9818,2011,4
Dental equipment and supplies,2012-07-01,21977.52,2012,7
Dental equipment and supplies,2011-11-01,14676.08,2011,11
Dental equipment and supplies,2014-10-01,4295.88,2014,10
Dental equipment and supplies,2012-11-01,9239.64,2012,11
Dental equipment and supplies,2013-01-01,12648.81,2013,1
Dental equipment and supplies,2013-09-01,975.05,2013,9
Dental equipment and supplies,2013-04-01,4531.66,2013,4
Dental equipment and supplies,2013-03-01,12035.39,2013,3
Dental equipment and supplies,2011-08-01,19416.14,2011,8
Dental equipment and supplies,2012-03-01,58088.3,2012,3
Dental equipment and supplies,2011-09-01,14794.25,2011,9
Dental equipment and supplies,2012-09-01,10234.15,2012,9
Dental equipment and supplies,2011-07-01,21624.9,2011,7
Dental equipment and supplies,2014-12-01,4589,2014,12
Dental equipment and supplies,2011-06-01,16906.05,2011,6
Dental equipment and supplies,2012-02-01,11952.4,2012,2
Dental equipment and supplies,2011-03-01,8823,2011,3
Dental equipment and supplies,2011-12-01,25150.67,2011,12
Dental equipment and supplies,2013-02-01,8684.06,2013,2
Dental equipment and supplies,2012-08-01,21294.05,2012,8
Dental equipment and supplies,2011-02-01,11063.6,2011,2
Detective services,2012-03-01,982.65,2012,3
Detective services,2013-03-01,1116.07,2013,3
Detective services,2011-12-01,528.28,2011,12
Detective services,2012-02-01,992.24,2012,2
Detective services,2011-09-01,490.78,2011,9
Detective services,2014-12-01,5039.37,2014,12
Detective services,2011-07-01,463.92,2011,7
Detective services,2014-11-01,941.71,2014,11
Detective services,2012-04-01,623,2012,4
Detective services,2013-01-01,676.52,2013,1
Distribution,2013-03-01,22590.6,2013,3
Distribution,2013-04-01,601.75,2013,4
Distribution,2012-03-01,2866.82,2012,3
Distribution,2011-09-01,3081.91,2011,9
Distribution,2012-09-01,608.26,2012,9
Distribution,2011-07-01,25650,2011,7
Distribution,2013-07-01,569.87,2013,7
Distribution,2011-06-01,679,2011,6
Distribution,2012-02-01,653.93,2012,2
Distribution,2011-03-01,22081.59,2011,3
Distribution,2013-11-01,1280.5,2013,11
Distribution,2013-02-01,4107.58,2013,2
Distribution,2012-08-01,3712.6,2012,8
Distribution,2013-10-01,1481.99,2013,10
Distribution,2011-02-01,1634.63,2011,2
Distribution,2012-01-01,588.43,2012,1
Distribution,2012-05-01,6175.5,2012,5
Distribution,2014-02-01,1665,2014,2
Distribution,2011-10-01,443,2011,10
Distribution,2012-10-01,3868.44,2012,10
Distribution,2011-05-01,1744.41,2011,5
Distribution,2012-12-01,460.64,2012,12
Distribution,2012-04-01,960.75,2012,4
Distribution,2011-01-01,534.6,2011,1
Distribution,2011-04-01,2397.68,2011,4
Distribution,2012-07-01,3154.31,2012,7
Distribution,2011-11-01,7199.34,2011,11
Distribution,2012-11-01,3671.12,2012,11
Distribution,2014-10-01,5772.83,2014,10
Distribution,2013-01-01,3345.94,2013,1
Domestic appliances,2013-02-01,1005.43,2013,2
Domestic appliances,2014-10-01,5728.72,2014,10
Drugs and Pharmaceutical Products,2011-09-01,850,2011,9
Drugs and Pharmaceutical Products,2011-07-01,850,2011,7
Editorial and Design and Graphic and Fine Art Services,2011-10-01,805,2011,10
Editorial and Design and Graphic and Fine Art Services,2012-10-01,528,2012,10
Editorial and Design and Graphic and Fine Art Services,2011-05-01,13348.6,2011,5
Editorial and Design and Graphic and Fine Art Services,2014-11-01,2090.1,2014,11
Editorial and Design and Graphic and Fine Art Services,2013-08-01,13142.88,2013,8
Editorial and Design and Graphic and Fine Art Services,2012-05-01,27680,2012,5
Editorial and Design and Graphic and Fine Art Services,2013-10-01,478,2013,10
Editorial and Design and Graphic and Fine Art Services,2012-08-01,1575,2012,8
Editorial and Design and Graphic and Fine Art Services,2011-02-01,525,2011,2
Editorial and Design and Graphic and Fine Art Services,2012-01-01,1285,2012,1
Editorial and Design and Graphic and Fine Art Services,2014-10-01,3500,2014,10
Editorial and Design and Graphic and Fine Art Services,2012-07-01,2175.79,2012,7
Editorial and Design and Graphic and Fine Art Services,2011-11-01,19500,2011,11
Editorial and Design and Graphic and Fine Art Services,2011-04-01,520.2,2011,4
Editorial and Design and Graphic and Fine Art Services,2014-07-01,621,2014,7
Editorial and Design and Graphic and Fine Art Services,2012-03-01,1940,2012,3
Editorial and Design and Graphic and Fine Art Services,2013-03-01,8190,2013,3
Editorial and Design and Graphic and Fine Art Services,2013-05-01,2051.95,2013,5
Editorial and Design and Graphic and Fine Art Services,2013-04-01,46020.89,2013,4
Editorial and Design and Graphic and Fine Art Services,2012-02-01,1725,2012,2
Editorial and Design and Graphic and Fine Art Services,2011-12-01,2343.2,2011,12
Editorial and Design and Graphic and Fine Art Services,2011-06-01,44258.77,2011,6
Editorial and Design and Graphic and Fine Art Services,2011-07-01,2600,2011,7
Editorial and Design and Graphic and Fine Art Services,2014-12-01,4174.82,2014,12
Editorial and Design and Graphic and Fine Art Services,2011-09-01,2210,2011,9
Editorial and Design and Graphic and Fine Art Services,2012-12-01,2776,2012,12
Editorial and Design and Graphic and Fine Art Services,2012-04-01,1000,2012,4
Education and Training Services,2011-02-01,199601,2011,2
Education and Training Services,2012-08-01,274153.81,2012,8
Education and Training Services,2013-10-01,11173,2013,10
Education and Training Services,2012-05-01,20475,2012,5
Education and Training Services,2014-11-01,154886.93,2014,11
Education and Training Services,2013-08-01,12210.86,2013,8
Education and Training Services,2011-05-01,505106.57,2011,5
Education and Training Services,2012-10-01,67653.6,2012,10
Education and Training Services,2011-10-01,107917,2011,10
Education and Training Services,2012-04-01,430989.42,2012,4
Education and Training Services,2012-12-01,227468.26,2012,12
Education and Training Services,2014-03-01,75758.86,2014,3
Education and Training Services,2011-01-01,465705.29,2011,1
Education and Training Services,2014-07-01,550,2014,7
Education and Training Services,2012-06-01,76937.46,2012,6
Education and Training Services,2011-04-01,284803.34,2011,4
Education and Training Services,2013-06-01,5500,2013,6
Education and Training Services,2011-11-01,118099.8,2011,11
Education and Training Services,2012-07-01,403768.76,2012,7
Education and Training Services,2013-01-01,88008.72,2013,1
Education and Training Services,2012-11-01,187324.28,2012,11
Education and Training Services,2014-10-01,417313.11,2014,10
Education and Training Services,2013-03-01,174448.47,2013,3
Education and Training Services,2013-04-01,190121.98,2013,4
Education and Training Services,2013-09-01,4650,2013,9
Education and Training Services,2013-05-01,114267.58,2013,5
Education and Training Services,2013-12-01,951.2,2013,12
Education and Training Services,2012-03-01,9676.66,2012,3
Education and Training Services,2011-08-01,98527.96,2011,8
Education and Training Services,2011-09-01,159666.76,2011,9
Education and Training Services,2013-07-01,64622.18,2013,7
Education and Training Services,2014-12-01,104599.22,2014,12
Education and Training Services,2011-07-01,320424.61,2011,7
Education and Training Services,2012-09-01,131377.36,2012,9
Education and Training Services,2011-06-01,113380.03,2011,6
Education and Training Services,2013-02-01,114311.2,2013,2
Education and Training Services,2013-11-01,2950,2013,11
Education and Training Services,2011-12-01,467544.14,2011,12
Education and Training Services,2011-03-01,164234.08,2011,3
Education and Training Services,2014-01-01,4250,2014,1
Education and Training Services,2012-02-01,6316.28,2012,2
Education and Training Services,2012-01-01,23938.39,2012,1
Educational institutions,2012-07-01,3638.6,2012,7
Educational institutions,2012-12-01,1370,2012,12
Educational institutions,2012-01-01,1485,2012,1
Educational institutions,2013-02-01,3341.8,2013,2
Educational institutions,2014-12-01,80.92,2014,12
Elderly daycare services,2012-03-01,398439.769999999,2012,3
Elderly daycare services,2011-08-01,373346.93,2011,8
Elderly daycare services,2013-09-01,53541.09,2013,9
Elderly daycare services,2013-04-01,22005.47,2013,4
Elderly daycare services,2013-05-01,17671.08,2013,5
Elderly daycare services,2013-03-01,717305.87,2013,3
Elderly daycare services,2014-08-01,4842.64,2014,8
Elderly daycare services,2013-02-01,666892.63,2013,2
Elderly daycare services,2011-12-01,702573.22,2011,12
Elderly daycare services,2013-11-01,16452.28,2013,11
Elderly daycare services,2011-03-01,298347.88,2011,3
Elderly daycare services,2012-02-01,423348.74,2012,2
Elderly daycare services,2011-06-01,445394.63,2011,6
Elderly daycare services,2014-12-01,847905.63,2014,12
Elderly daycare services,2013-07-01,42796.65,2013,7
Elderly daycare services,2011-07-01,486018.95,2011,7
Elderly daycare services,2012-09-01,516515.78,2012,9
Elderly daycare services,2011-09-01,418714,2011,9
Elderly daycare services,2014-05-01,2979.5,2014,5
Elderly daycare services,2012-04-01,409791.07,2012,4
Elderly daycare services,2012-12-01,482768.49,2012,12
Elderly daycare services,2013-08-01,44392.33,2013,8
Elderly daycare services,2014-11-01,563916.69,2014,11
Elderly daycare services,2011-05-01,417440.16,2011,5
Elderly daycare services,2012-10-01,602647.26,2012,10
Elderly daycare services,2011-10-01,408228.15,2011,10
Elderly daycare services,2012-05-01,457840.65,2012,5
Elderly daycare services,2012-01-01,406341.93,2012,1
Elderly daycare services,2011-02-01,355135.01,2011,2
Elderly daycare services,2012-08-01,498413.87,2012,8
Elderly daycare services,2013-10-01,50450.03,2013,10
Elderly daycare services,2013-01-01,527421.9,2013,1
Elderly daycare services,2014-10-01,1245137.34,2014,10
Elderly daycare services,2012-11-01,793928.03,2012,11
Elderly daycare services,2011-11-01,490284.71,2011,11
Elderly daycare services,2012-07-01,579302.77,2012,7
Elderly daycare services,2011-04-01,390912.28,2011,4
Elderly daycare services,2013-06-01,36055.18,2013,6
Elderly daycare services,2014-03-01,538.56,2014,3
Elderly daycare services,2014-07-01,4142.33,2014,7
Elderly daycare services,2014-06-01,2778.93,2014,6
Elderly daycare services,2012-06-01,470103.65,2012,6
Elderly daycare services,2011-01-01,376480.28,2011,1
Electric power system construction service,2011-04-01,475024.4,2011,4
Electric power system construction service,2013-06-01,246695.85,2013,6
Electric power system construction service,2014-03-01,13315.78,2014,3
Electric power system construction service,2012-06-01,251876.55,2012,6
Electric power system construction service,2014-06-01,2093.74,2014,6
Electric power system construction service,2014-07-01,468,2014,7
Electric power system construction service,2011-01-01,243449.84,2011,1
Electric power system construction service,2013-01-01,277806.35,2013,1
Electric power system construction service,2014-10-01,338966.82,2014,10
Electric power system construction service,2012-11-01,383852.58,2012,11
Electric power system construction service,2011-11-01,369473.73,2011,11
Electric power system construction service,2012-07-01,211593.91,2012,7
Electric power system construction service,2014-02-01,2965.86,2014,2
Electric power system construction service,2012-05-01,224151.76,2012,5
Electric power system construction service,2012-01-01,399151.979999999,2012,1
Electric power system construction service,2011-02-01,272840.97,2011,2
Electric power system construction service,2013-10-01,341290.729999999,2013,10
Electric power system construction service,2014-04-01,2871.44,2014,4
Electric power system construction service,2012-08-01,484063,2012,8
Electric power system construction service,2012-04-01,279719.53,2012,4
Electric power system construction service,2012-12-01,443640.28,2012,12
Electric power system construction service,2013-08-01,649256.89,2013,8
Electric power system construction service,2014-11-01,231808.33,2014,11
Electric power system construction service,2011-05-01,295246.78,2011,5
Electric power system construction service,2012-10-01,461544.24,2012,10
Electric power system construction service,2011-10-01,316222.970000001,2011,10
Electric power system construction service,2014-12-01,250597.36,2014,12
Electric power system construction service,2013-07-01,344997.62,2013,7
Electric power system construction service,2011-07-01,213634.53,2011,7
Electric power system construction service,2012-09-01,485871.84,2012,9
Electric power system construction service,2011-09-01,364598.24,2011,9
Electric power system construction service,2013-02-01,365100.03,2013,2
Electric power system construction service,2013-11-01,164732.54,2013,11
Electric power system construction service,2011-12-01,257631.48,2011,12
Electric power system construction service,2011-03-01,369853.97,2011,3
Electric power system construction service,2014-01-01,27746.98,2014,1
Electric power system construction service,2012-02-01,190751.78,2012,2
Electric power system construction service,2011-06-01,297106.85,2011,6
Electric power system construction service,2013-12-01,2051.47,2013,12
Electric power system construction service,2013-05-01,194355.33,2013,5
Electric power system construction service,2013-04-01,230011.7,2013,4
Electric power system construction service,2013-09-01,473478.89,2013,9
Electric power system construction service,2013-03-01,454638.47,2013,3
Electric power system construction service,2014-08-01,1295,2014,8
Electric power system construction service,2012-03-01,274915,2012,3
Electric power system construction service,2011-08-01,292123.54,2011,8
Electric utilities,2011-03-01,19626.64,2011,3
Electric utilities,2013-11-01,678.78,2013,11
Electric utilities,2011-12-01,3387,2011,12
Electric utilities,2013-02-01,3838.81,2013,2
Electric utilities,2011-06-01,11272.87,2011,6
Electric utilities,2012-09-01,16684.46,2012,9
Electric utilities,2011-07-01,4084,2011,7
Electric utilities,2014-12-01,504,2014,12
Electric utilities,2011-09-01,2868,2011,9
Electric utilities,2011-08-01,1985,2011,8
Electric utilities,2012-03-01,4856.88,2012,3
Electric utilities,2013-03-01,4357.01,2013,3
Electric utilities,2012-11-01,3341,2012,11
Electric utilities,2014-10-01,13365.57,2014,10
Electric utilities,2013-01-01,5289.1,2013,1
Electric utilities,2012-07-01,14001.56,2012,7
Electric utilities,2011-11-01,454,2011,11
Electric utilities,2011-04-01,30973.8,2011,4
Electric utilities,2011-01-01,108329.27,2011,1
Electric utilities,2012-06-01,12051.69,2012,6
Electric utilities,2012-12-01,7175.58,2012,12
Electric utilities,2012-04-01,11864.26,2012,4
Electric utilities,2011-10-01,880,2011,10
Electric utilities,2011-05-01,3100.87,2011,5
Electric utilities,2012-05-01,101613.17,2012,5
Electric utilities,2014-04-01,649.83,2014,4
Electric utilities,2012-08-01,106483.17,2012,8
Electric utilities,2011-02-01,5521.72,2011,2
Electric utilities,2012-01-01,71725.16,2012,1
Electric utilities,2012-02-01,23147.62,2012,2
Electrical equipment and components and supplies,2013-07-01,1410,2013,7
Electrical equipment and components and supplies,2014-12-01,494447.23,2014,12
Electrical equipment and components and supplies,2011-07-01,9681.47,2011,7
Electrical equipment and components and supplies,2012-09-01,34429.19,2012,9
Electrical equipment and components and supplies,2011-06-01,12372.25,2011,6
Electrical equipment and components and supplies,2013-02-01,20702.67,2013,2
Electrical equipment and components and supplies,2011-12-01,38100,2011,12
Electrical equipment and components and supplies,2013-11-01,1541.22,2013,11
Electrical equipment and components and supplies,2011-03-01,50879.73,2011,3
Electrical equipment and components and supplies,2012-02-01,19678.14,2012,2
Electrical equipment and components and supplies,2013-03-01,24854.52,2013,3
Electrical equipment and components and supplies,2013-04-01,12589.95,2013,4
Electrical equipment and components and supplies,2013-05-01,12772.06,2013,5
Electrical equipment and components and supplies,2012-03-01,30033.58,2012,3
Electrical equipment and components and supplies,2011-08-01,6588.61,2011,8
Electrical equipment and components and supplies,2011-01-01,38509,2011,1
Electrical equipment and components and supplies,2012-06-01,21601.16,2012,6
Electrical equipment and components and supplies,2011-04-01,104842.26,2011,4
Electrical equipment and components and supplies,2013-06-01,7508.15,2013,6
Electrical equipment and components and supplies,2011-11-01,56897.62,2011,11
Electrical equipment and components and supplies,2012-07-01,7038.61,2012,7
Electrical equipment and components and supplies,2013-01-01,3875.72,2013,1
Electrical equipment and components and supplies,2012-11-01,15024.43,2012,11
Electrical equipment and components and supplies,2014-10-01,98349.88,2014,10
Electrical equipment and components and supplies,2012-01-01,4068.17,2012,1
Electrical equipment and components and supplies,2011-02-01,9098.89,2011,2
Electrical equipment and components and supplies,2012-08-01,88082.52,2012,8
Electrical equipment and components and supplies,2013-10-01,11184.2,2013,10
Electrical equipment and components and supplies,2012-05-01,44473.94,2012,5
Electrical equipment and components and supplies,2014-11-01,43020.62,2014,11
Electrical equipment and components and supplies,2013-08-01,24283.22,2013,8
Electrical equipment and components and supplies,2011-05-01,9003.74,2011,5
Electrical equipment and components and supplies,2012-10-01,8861.16,2012,10
Electrical equipment and components and supplies,2011-10-01,8095.19,2011,10
Electrical equipment and components and supplies,2012-04-01,54774.54,2012,4
Electrical equipment and components and supplies,2012-12-01,23649.05,2012,12
Electrical equipment and components and supplies,2011-09-01,2574.25,2011,9
Electrical wire and cable and harness,2011-08-01,585,2011,8
Electronic publications and music,2011-02-01,6423.29,2011,2
Electronic publications and music,2014-04-01,730.2,2014,4
Electronic publications and music,2012-08-01,2964.78,2012,8
Electronic publications and music,2012-01-01,12999.75,2012,1
Electronic publications and music,2012-05-01,76023.5,2012,5
Electronic publications and music,2012-10-01,11845.2,2012,10
Electronic publications and music,2011-10-01,9525.3,2011,10
Electronic publications and music,2011-05-01,46207.55,2011,5
Electronic publications and music,2012-04-01,4816.37,2012,4
Electronic publications and music,2012-12-01,5349.16,2012,12
Electronic publications and music,2012-06-01,3638.7,2012,6
Electronic publications and music,2014-07-01,745.2,2014,7
Electronic publications and music,2011-01-01,4985.73,2011,1
Electronic publications and music,2014-03-01,1644.6,2014,3
Electronic publications and music,2011-04-01,47022.73,2011,4
Electronic publications and music,2011-11-01,4424.22,2011,11
Electronic publications and music,2012-07-01,574,2012,7
Electronic publications and music,2012-11-01,2208.65,2012,11
Electronic publications and music,2013-01-01,3307.25,2013,1
Electronic publications and music,2013-04-01,1750,2013,4
Electronic publications and music,2013-03-01,2033,2013,3
Electronic publications and music,2012-03-01,1737.5,2012,3
Electronic publications and music,2011-09-01,1578.88,2011,9
Electronic publications and music,2012-09-01,2125.3,2012,9
Electronic publications and music,2014-12-01,492.77,2014,12
Electronic publications and music,2013-07-01,440,2013,7
Electronic publications and music,2011-06-01,1754.81,2011,6
Electronic publications and music,2011-03-01,3428.39,2011,3
Electronic publications and music,2014-01-01,6403.8,2014,1
Electronic publications and music,2012-02-01,834.25,2012,2
Electronic publications and music,2013-02-01,1857.92,2013,2
Electronic publications and music,2013-11-01,14147.86,2013,11
Electronic publications and music,2011-12-01,10487.59,2011,12
Elementary and secondary schools,2011-01-01,127497.35,2011,1
Elementary and secondary schools,2014-06-01,3410,2014,6
Elementary and secondary schools,2014-07-01,18530,2014,7
Elementary and secondary schools,2012-06-01,446803.43,2012,6
Elementary and secondary schools,2014-03-01,17100,2014,3
Elementary and secondary schools,2011-04-01,313065.23,2011,4
Elementary and secondary schools,2013-06-01,2923,2013,6
Elementary and secondary schools,2011-11-01,242260.46,2011,11
Elementary and secondary schools,2012-07-01,238769.13,2012,7
Elementary and secondary schools,2012-11-01,673430.92,2012,11
Elementary and secondary schools,2014-10-01,175705.11,2014,10
Elementary and secondary schools,2013-01-01,89425.06,2013,1
Elementary and secondary schools,2011-02-01,38422.83,2011,2
Elementary and secondary schools,2012-08-01,93742.33,2012,8
Elementary and secondary schools,2014-04-01,133679.16,2014,4
Elementary and secondary schools,2013-10-01,16002.45,2013,10
Elementary and secondary schools,2012-01-01,79312.71,2012,1
Elementary and secondary schools,2012-05-01,343706.58,2012,5
Elementary and secondary schools,2014-02-01,67269.2,2014,2
Elementary and secondary schools,2012-10-01,91105.11,2012,10
Elementary and secondary schools,2011-10-01,136823.27,2011,10
Elementary and secondary schools,2014-11-01,1064883.26,2014,11
Elementary and secondary schools,2013-08-01,166829.36,2013,8
Elementary and secondary schools,2011-05-01,123575.89,2011,5
Elementary and secondary schools,2012-04-01,353690.68,2012,4
Elementary and secondary schools,2012-12-01,1111682,2012,12
Elementary and secondary schools,2014-05-01,7200,2014,5
Elementary and secondary schools,2011-09-01,151195.27,2011,9
Elementary and secondary schools,2011-07-01,102002.13,2011,7
Elementary and secondary schools,2012-09-01,218653.45,2012,9
Elementary and secondary schools,2013-07-01,266782.13,2013,7
Elementary and secondary schools,2014-12-01,645492.39,2014,12
Elementary and secondary schools,2011-06-01,163086.95,2011,6
Elementary and secondary schools,2011-03-01,169772.79,2011,3
Elementary and secondary schools,2014-01-01,3331.5,2014,1
Elementary and secondary schools,2012-02-01,131266.45,2012,2
Elementary and secondary schools,2013-02-01,107790.17,2013,2
Elementary and secondary schools,2013-11-01,27046,2013,11
Elementary and secondary schools,2011-12-01,332460.53,2011,12
Elementary and secondary schools,2014-08-01,52491.37,2014,8
Elementary and secondary schools,2013-03-01,377268.01,2013,3
Elementary and secondary schools,2013-04-01,551988.18,2013,4
Elementary and secondary schools,2013-09-01,85083.14,2013,9
Elementary and secondary schools,2013-05-01,5673.85,2013,5
Elementary and secondary schools,2013-12-01,100172.08,2013,12
Elementary and secondary schools,2011-08-01,3298.33,2011,8
Elementary and secondary schools,2012-03-01,484484.99,2012,3
Engineering and Research and Technology Based Services,2011-11-01,420836.26,2011,11
Engineering and Research and Technology Based Services,2012-07-01,156433.87,2012,7
Engineering and Research and Technology Based Services,2012-11-01,241647.77,2012,11
Engineering and Research and Technology Based Services,2014-10-01,61555.64,2014,10
Engineering and Research and Technology Based Services,2013-01-01,653268.57,2013,1
Engineering and Research and Technology Based Services,2014-06-01,14139.33,2014,6
Engineering and Research and Technology Based Services,2014-07-01,9669.21,2014,7
Engineering and Research and Technology Based Services,2012-06-01,457969.63,2012,6
Engineering and Research and Technology Based Services,2011-01-01,629598.8,2011,1
Engineering and Research and Technology Based Services,2014-03-01,8976.33,2014,3
Engineering and Research and Technology Based Services,2011-04-01,1036504.43,2011,4
Engineering and Research and Technology Based Services,2013-06-01,9173.7,2013,6
Engineering and Research and Technology Based Services,2012-10-01,372066.05,2012,10
Engineering and Research and Technology Based Services,2011-10-01,543899.24,2011,10
Engineering and Research and Technology Based Services,2013-08-01,27348.36,2013,8
Engineering and Research and Technology Based Services,2014-11-01,44120.37,2014,11
Engineering and Research and Technology Based Services,2011-05-01,879636.6,2011,5
Engineering and Research and Technology Based Services,2012-04-01,411035.09,2012,4
Engineering and Research and Technology Based Services,2012-12-01,503335.11,2012,12
Engineering and Research and Technology Based Services,2011-02-01,1045696.2,2011,2
Engineering and Research and Technology Based Services,2012-08-01,645287.8,2012,8
Engineering and Research and Technology Based Services,2013-10-01,7281.86,2013,10
Engineering and Research and Technology Based Services,2012-01-01,135124.39,2012,1
Engineering and Research and Technology Based Services,2012-05-01,311656,2012,5
Engineering and Research and Technology Based Services,2011-06-01,700388.8,2011,6
Engineering and Research and Technology Based Services,2011-03-01,732564.01,2011,3
Engineering and Research and Technology Based Services,2014-01-01,54765.1,2014,1
Engineering and Research and Technology Based Services,2012-02-01,444544.61,2012,2
Engineering and Research and Technology Based Services,2013-02-01,418719.92,2013,2
Engineering and Research and Technology Based Services,2013-11-01,8968.58,2013,11
Engineering and Research and Technology Based Services,2011-12-01,677062.97,2011,12
Engineering and Research and Technology Based Services,2014-05-01,40025.88,2014,5
Engineering and Research and Technology Based Services,2011-09-01,566041.71,2011,9
Engineering and Research and Technology Based Services,2011-07-01,695308.57,2011,7
Engineering and Research and Technology Based Services,2012-09-01,487705.59,2012,9
Engineering and Research and Technology Based Services,2014-12-01,149255.46,2014,12
Engineering and Research and Technology Based Services,2013-07-01,10645.74,2013,7
Engineering and Research and Technology Based Services,2011-08-01,671972.7,2011,8
Engineering and Research and Technology Based Services,2012-03-01,251621.22,2012,3
Engineering and Research and Technology Based Services,2014-08-01,37045.74,2014,8
Engineering and Research and Technology Based Services,2013-04-01,7011.6,2013,4
Engineering and Research and Technology Based Services,2013-09-01,5315.34,2013,9
Engineering and Research and Technology Based Services,2013-05-01,14400,2013,5
Engineering and Research and Technology Based Services,2013-03-01,129474.98,2013,3
Engineering and Research and Technology Based Services,2013-12-01,4878.92,2013,12
Entertainment services,2012-09-01,7755.8,2012,9
Entertainment services,2014-12-01,31955.8,2014,12
Entertainment services,2013-07-01,2687,2013,7
Entertainment services,2011-09-01,9248.34,2011,9
Entertainment services,2014-01-01,2959.72,2014,1
Entertainment services,2011-03-01,5642.58,2011,3
Entertainment services,2012-02-01,1841.5,2012,2
Entertainment services,2013-02-01,7110.78,2013,2
Entertainment services,2011-12-01,4886,2011,12
Entertainment services,2013-11-01,1433,2013,11
Entertainment services,2011-06-01,4403.34,2011,6
Entertainment services,2013-12-01,1479.86,2013,12
Entertainment services,2013-09-01,2959.72,2013,9
Entertainment services,2013-04-01,2000,2013,4
Entertainment services,2013-05-01,521.25,2013,5
Entertainment services,2013-03-01,2838.4,2013,3
Entertainment services,2011-08-01,69308.25,2011,8
Entertainment services,2012-03-01,2412,2012,3
Entertainment services,2011-04-01,5177.3,2011,4
Entertainment services,2013-06-01,5030,2013,6
Entertainment services,2012-06-01,43149.45,2012,6
Entertainment services,2011-01-01,8121.87,2011,1
Entertainment services,2014-03-01,1479.86,2014,3
Entertainment services,2014-10-01,6122.6,2014,10
Entertainment services,2012-11-01,3136.6,2012,11
Entertainment services,2013-01-01,3770,2013,1
Entertainment services,2011-11-01,27075.53,2011,11
Entertainment services,2012-07-01,5216.98,2012,7
Entertainment services,2012-05-01,3325,2012,5
Entertainment services,2011-02-01,4530.27,2011,2
Entertainment services,2012-08-01,15884.53,2012,8
Entertainment services,2013-10-01,2959.72,2013,10
Entertainment services,2012-01-01,2660,2012,1
Entertainment services,2012-04-01,4860.62,2012,4
Entertainment services,2012-12-01,1471.05,2012,12
Entertainment services,2012-10-01,4007.4,2012,10
Entertainment services,2011-10-01,4185,2011,10
Entertainment services,2013-08-01,3537.69,2013,8
Entertainment services,2014-11-01,20321.9,2014,11
Entertainment services,2011-05-01,980,2011,5
Entertainment services,2011-07-01,19535.75,2011,7
Environmental Services,2012-10-01,12333.33,2012,10
Environmental Services,2013-08-01,12333.33,2013,8
Environmental Services,2011-08-01,500,2011,8
Environmental Services,2011-03-01,5925,2011,3
Environmental Services,2013-02-01,12563.91,2013,2
Extraction,2012-01-01,46605.36,2012,1
Extraction,2011-02-01,626366.11,2011,2
Extraction,2014-04-01,1588.95,2014,4
Extraction,2012-08-01,38169.18,2012,8
Extraction,2014-02-01,180495.64,2014,2
Extraction,2012-05-01,75193.8,2012,5
Extraction,2014-11-01,40342.82,2014,11
Extraction,2013-08-01,739.35,2013,8
Extraction,2011-05-01,4868.12,2011,5
Extraction,2012-10-01,39954.35,2012,10
Extraction,2012-04-01,206948.82,2012,4
Extraction,2012-12-01,537.6,2012,12
Extraction,2014-03-01,394184.42,2014,3
Extraction,2011-01-01,51006.79,2011,1
Extraction,2012-06-01,38169.18,2012,6
Extraction,2014-07-01,1621.05,2014,7
Extraction,2014-06-01,667.57,2014,6
Extraction,2011-04-01,81923.76,2011,4
Extraction,2013-06-01,618.88,2013,6
Extraction,2011-11-01,38169.18,2011,11
Extraction,2012-07-01,52836.84,2012,7
Extraction,2013-01-01,128392.63,2013,1
Extraction,2014-10-01,46066.18,2014,10
Extraction,2012-11-01,92976.81,2012,11
