category,date_calculated,sum,YYYY,exmonth
Laundering services,2011-01-01,1714.92,2011,1
Laundering services,2012-06-01,3219.03,2012,6
Laundering services,2011-04-01,1707.44,2011,4
Laundering services,2011-11-01,2960.04,2011,11
Laundering services,2011-02-01,1365.68,2011,2
Laundering services,2012-05-01,1484.4,2012,5
Laundering services,2011-05-01,1375.2,2011,5
Laundering services,2012-10-01,3139.06,2012,10
Laundering services,2011-09-01,1841.63,2011,9
Laundering services,2011-07-01,1744.54,2011,7
Laundering services,2011-06-01,1376.56,2011,6
Laundering services,2013-02-01,-901.97,2013,2
Laundering services,2011-12-01,1837.98,2011,12
Laundering services,2011-03-01,1377.92,2011,3
Laundering services,2012-02-01,2955.66,2012,2
Laundering services,2012-03-01,1837.98,2012,3
Laundering services,2011-08-01,2772.8,2011,8
Lease and rental of property or building,2011-03-01,13060.51,2011,3
Lease and rental of property or building,2013-11-01,62081.01,2013,11
Lease and rental of property or building,2011-12-01,128733.86,2011,12
Lease and rental of property or building,2013-02-01,10420.26,2013,2
Lease and rental of property or building,2011-06-01,105325.38,2011,6
Lease and rental of property or building,2012-09-01,39027.02,2012,9
Lease and rental of property or building,2011-07-01,36066.79,2011,7
Lease and rental of property or building,2013-07-01,66436.22,2013,7
Lease and rental of property or building,2014-12-01,92000,2014,12
Lease and rental of property or building,2011-09-01,97889.97,2011,9
Lease and rental of property or building,2011-08-01,21762.5,2011,8
Lease and rental of property or building,2012-03-01,37377.44,2012,3
Lease and rental of property or building,2013-03-01,12095.95,2013,3
Lease and rental of property or building,2013-05-01,71385.95,2013,5
Lease and rental of property or building,2013-04-01,79931.73,2013,4
Lease and rental of property or building,2013-09-01,89113.32,2013,9
Lease and rental of property or building,2014-10-01,140276.04,2014,10
Lease and rental of property or building,2012-11-01,67276.93,2012,11
Lease and rental of property or building,2013-01-01,17090,2013,1
Lease and rental of property or building,2012-07-01,6337.66,2012,7
Lease and rental of property or building,2011-11-01,16444.82,2011,11
Lease and rental of property or building,2013-06-01,74738.35,2013,6
Lease and rental of property or building,2011-04-01,27490,2011,4
Lease and rental of property or building,2011-01-01,28083.3,2011,1
Lease and rental of property or building,2012-06-01,156807.05,2012,6
Lease and rental of property or building,2012-12-01,72566.26,2012,12
Lease and rental of property or building,2012-04-01,27432.21,2012,4
Lease and rental of property or building,2011-10-01,43083.61,2011,10
Lease and rental of property or building,2012-10-01,42509.71,2012,10
Lease and rental of property or building,2011-05-01,19894.69,2011,5
Lease and rental of property or building,2014-11-01,79402.89,2014,11
Lease and rental of property or building,2013-08-01,58264.22,2013,8
Lease and rental of property or building,2012-05-01,69654.38,2012,5
Lease and rental of property or building,2013-10-01,97709.3999999999,2013,10
Lease and rental of property or building,2012-08-01,44263.09,2012,8
Lease and rental of property or building,2011-02-01,43398.63,2011,2
Lease and rental of property or building,2012-01-01,33238.81,2012,1
Lease and rental of property or building,2012-02-01,25866.72,2012,2
Legal services,2014-03-01,17454.3,2014,3
Legal services,2012-06-01,9500,2012,6
Legal services,2014-07-01,19950,2014,7
Legal services,2014-06-01,1890.5,2014,6
Legal services,2013-01-01,3100,2013,1
Legal services,2014-10-01,57375.92,2014,10
Legal services,2012-11-01,41977.02,2012,11
Legal services,2014-02-01,495,2014,2
Legal services,2012-05-01,39223,2012,5
Legal services,2012-01-01,2787,2012,1
Legal services,2014-04-01,500,2014,4
Legal services,2012-08-01,31699.5,2012,8
Legal services,2012-12-01,14139.22,2012,12
Legal services,2013-08-01,52678.66,2013,8
Legal services,2014-11-01,24473.5,2014,11
Legal services,2012-10-01,37505.7,2012,10
Legal services,2014-12-01,670,2014,12
Legal services,2013-07-01,9223.7,2013,7
Legal services,2011-07-01,19589.5,2011,7
Legal services,2011-12-01,27706.75,2011,12
Legal services,2013-11-01,29369.38,2013,11
Legal services,2013-02-01,480,2013,2
Legal services,2012-02-01,35432.5,2012,2
Legal services,2014-01-01,7784.4,2014,1
Legal services,2011-03-01,9545.5,2011,3
Legal services,2013-12-01,1000,2013,12
Legal services,2013-05-01,46513.37,2013,5
Legal services,2013-09-01,10638.5,2013,9
Legal services,2013-04-01,85325.5,2013,4
Legal services,2014-08-01,2119.5,2014,8
Legal services,2012-03-01,520.4,2012,3
Library or documentation services,2013-07-01,57.5,2013,7
Library or documentation services,2012-09-01,57.5,2012,9
Library or documentation services,2013-05-01,57.5,2013,5
Library or documentation services,2012-01-01,57.5,2012,1
Lifting equipment and accessories,2011-09-01,1260,2011,9
Lifting equipment and accessories,2013-07-01,550.03,2013,7
Lifting equipment and accessories,2014-12-01,995,2014,12
Lifting equipment and accessories,2012-09-01,4101.19,2012,9
Lifting equipment and accessories,2011-07-01,1370.38,2011,7
Lifting equipment and accessories,2011-06-01,7207.68,2011,6
Lifting equipment and accessories,2013-11-01,494.88,2013,11
Lifting equipment and accessories,2011-12-01,1778.75,2011,12
Lifting equipment and accessories,2013-02-01,5695.94,2013,2
Lifting equipment and accessories,2012-02-01,5581.53,2012,2
Lifting equipment and accessories,2011-03-01,8460.65,2011,3
Lifting equipment and accessories,2013-03-01,10244.11,2013,3
Lifting equipment and accessories,2013-04-01,8297.4,2013,4
