org_type,date_calculated,sum,YYYY,exmonth
SMALL BUSINESS,2012-06-01,6276963.02999998,2012,6
MEDIUM / LARGE,2012-02-01,20929451.42,2012,2
CHARITY,2014-10-01,1399417.87,2014,10
NOT DEFINED,2014-01-01,706653.920000001,2014,1
CHARITY,2012-11-01,6366,2012,11
CHARITY,2014-05-01,4140,2014,5
MEDIUM / LARGE,2014-04-01,472118.879999999,2014,4
MEDIUM / LARGE,2014-03-01,2468273.2,2014,3
SMALL BUSINESS,2012-08-01,6376475.57999998,2012,8
SMALL BUSINESS,2014-06-01,319467.11,2014,6
SMALL BUSINESS,2013-06-01,1478134.2,2013,6
NOT DEFINED,2014-11-01,2343748.38,2014,11
EDUCATION,2011-02-01,32942.06,2011,2
SMALL BUSINESS,2012-09-01,6193851.99999998,2012,9
MEDIUM / LARGE,2013-10-01,5782565.36000002,2013,10
NOT DEFINED,2013-03-01,933251.279999999,2013,3
EDUCATION,2012-03-01,472528.52,2012,3
EDUCATION,2013-05-01,66969.1,2013,5
MEDIUM / LARGE,2011-08-01,25958897,2011,8
SMALL BUSINESS,2012-07-01,6076215.39999999,2012,7
NOT DEFINED,2014-08-01,3224985.57,2014,8
NOT DEFINED,2012-04-01,1541490.72,2012,4
CHARITY,2011-12-01,288734.03,2011,12
MEDIUM / LARGE,2012-06-01,16800114.0500002,2012,6
NOT DEFINED,2011-11-01,1801660.51,2011,11
SMALL BUSINESS,2012-02-01,5806973.74000001,2012,2
CHARITY,2011-01-01,189195.22,2011,1
CHARITY,2011-06-01,58377.3,2011,6
CHARITY,2012-12-01,4436,2012,12
EDUCATION,2013-08-01,68882.86,2013,8
NOT DEFINED,2012-05-01,1765601.03999999,2012,5
NOT DEFINED,2011-09-01,2870104.15,2011,9
MEDIUM / LARGE,2013-12-01,2373524.63,2013,12
NOT DEFINED,2011-04-01,3330794.18,2011,4
SMALL BUSINESS,2014-07-01,518594.21,2014,7
CHARITY,2013-01-01,750,2013,1
SMALL BUSINESS,2011-05-01,5790375.12,2011,5
NOT DEFINED,2011-07-01,2276232.55,2011,7
CHARITY,2013-11-01,16120,2013,11
SMALL BUSINESS,2013-07-01,1779158.97,2013,7
NOT DEFINED,2014-03-01,1534195.09,2014,3
EDUCATION,2013-01-01,130302.7,2013,1
MEDIUM / LARGE,2014-11-01,25301875.9300003,2014,11
EDUCATION,2013-11-01,1211.75,2013,11
MEDIUM / LARGE,2013-03-01,21689351.5500001,2013,3
EDUCATION,2011-06-01,207076.91,2011,6
MEDIUM / LARGE,2011-11-01,22527221.0100001,2011,11
EDUCATION,2011-12-01,345862.27,2011,12
MEDIUM / LARGE,2012-05-01,20407971.6300002,2012,5
MEDIUM / LARGE,2011-09-01,24771693.9300001,2011,9
SMALL BUSINESS,2013-02-01,6040094.99,2013,2
CHARITY,2011-02-01,53554.19,2011,2
SMALL BUSINESS,2014-02-01,485016.2,2014,2
SMALL BUSINESS,2013-03-01,6533711.07999997,2013,3
NOT DEFINED,2012-07-01,1471130.73,2012,7
MEDIUM / LARGE,2013-07-01,2032838.52,2013,7
EDUCATION,2012-01-01,203842.07,2012,1
SMALL BUSINESS,2014-11-01,7825351.94999994,2014,11
MEDIUM / LARGE,2013-02-01,17074081.4900001,2013,2
SMALL BUSINESS,2012-05-01,5409777.39000001,2012,5
SMALL BUSINESS,2011-09-01,6918534.11000001,2011,9
MEDIUM / LARGE,2014-02-01,2023528.35,2014,2
NOT DEFINED,2011-05-01,1336249.91,2011,5
SMALL BUSINESS,2011-11-01,6163351.42,2011,11
NOT DEFINED,2012-01-01,1560002.91,2012,1
MEDIUM / LARGE,2014-12-01,31648285.0000006,2014,12
MEDIUM / LARGE,2013-04-01,1731787.06,2013,4
SMALL BUSINESS,2013-05-01,1584831.97,2013,5
SMALL BUSINESS,2012-03-01,6646853.19000001,2012,3
EDUCATION,2012-07-01,625058.79,2012,7
CHARITY,2014-01-01,4140,2014,1
CHARITY,2012-10-01,3888,2012,10
SMALL BUSINESS,2013-08-01,1731087.71,2013,8
CHARITY,2011-03-01,86738.56,2011,3
MEDIUM / LARGE,2013-09-01,2402262.83,2013,9
EDUCATION,2011-05-01,195635.34,2011,5
MEDIUM / LARGE,2012-03-01,22268706.1400001,2012,3
MEDIUM / LARGE,2013-05-01,1434963.71,2013,5
SMALL BUSINESS,2013-04-01,1572751.76,2013,4
NOT DEFINED,2011-06-01,2141357.25,2011,6
CHARITY,2011-04-01,99167.96,2011,4
SMALL BUSINESS,2014-12-01,7715099.52999994,2014,12
NOT DEFINED,2013-01-01,1150900.36,2013,1
CHARITY,2011-07-01,68300.62,2011,7
NOT DEFINED,2013-11-01,995343.170000001,2013,11
SMALL BUSINESS,2013-09-01,1699171.9,2013,9
CHARITY,2014-08-01,4140,2014,8
MEDIUM / LARGE,2013-08-01,2581714.61000001,2013,8
NOT DEFINED,2011-12-01,1984639.74,2011,12
CHARITY,2012-04-01,4228.04,2012,4
NOT DEFINED,2012-03-01,1603137.68999999,2012,3
NOT DEFINED,2013-05-01,668863.88,2013,5
EDUCATION,2013-03-01,134571.28,2013,3
CHARITY,2012-06-01,125706.86,2012,6
MEDIUM / LARGE,2011-06-01,25587735.7500002,2011,6
SMALL BUSINESS,2012-01-01,5332242.31000001,2012,1
CHARITY,2013-12-01,13440,2013,12
MEDIUM / LARGE,2013-01-01,22025736.9400001,2013,1
MEDIUM / LARGE,2013-11-01,3616228.66000001,2013,11
EDUCATION,2014-11-01,7605.18,2014,11
EDUCATION,2011-09-01,187467.59,2011,9
EDUCATION,2012-05-01,179693.8,2012,5
CHARITY,2014-04-01,4140,2014,4
CHARITY,2013-10-01,33440,2013,10
CHARITY,2011-08-01,54510.61,2011,8
EDUCATION,2011-11-01,216464.06,2011,11
MEDIUM / LARGE,2011-12-01,28429596.4700001,2011,12
NOT DEFINED,2013-08-01,1269653,2013,8
EDUCATION,2013-07-01,48121.88,2013,7
MEDIUM / LARGE,2012-01-01,19929708.0700001,2012,1
CHARITY,2014-07-01,4140,2014,7
SMALL BUSINESS,2013-01-01,5511643.75,2013,1
NOT DEFINED,2014-12-01,2505941.87,2014,12
SMALL BUSINESS,2013-11-01,1635409.71,2013,11
NOT DEFINED,2013-04-01,1599467.35,2013,4
CHARITY,2012-02-01,19451.98,2012,2
SMALL BUSINESS,2011-06-01,6842521.47,2011,6
CHARITY,2012-09-01,9906.7,2012,9
SMALL BUSINESS,2011-12-01,8936279.51999998,2011,12
NOT DEFINED,2013-09-01,949430.760000001,2013,9
EDUCATION,2013-02-01,161972.93,2013,2
CHARITY,2012-08-01,140346.25,2012,8
CHARITY,2014-06-01,4890,2014,6
CHARITY,2013-06-01,17005,2013,6
EDUCATION,2013-04-01,134300.72,2013,4
MEDIUM / LARGE,2012-07-01,19739262.3300001,2012,7
